Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,C-PF,24,TOT,36,579,14.7,0.526,0.251,0.222,13.2,21.7,17.4,11.3,1.6,2.9,14.3,19.5,,0.1,0.7,0.9,0.071,,-1.7,0.1,-1.6,0.1
1,Precious Achiuwa\achiupr01,C,24,TOR,25,437,15.0,0.512,0.276,0.247,12.4,22.3,17.2,14.1,1.8,2.4,13.3,21.3,,0.0,0.5,0.5,0.059,,-1.4,0.0,-1.4,0.1
1,Precious Achiuwa\achiupr01,PF,24,NYK,11,142,13.8,0.593,0.135,0.108,15.7,20.0,17.9,2.9,1.0,4.5,18.8,14.2,,0.1,0.2,0.3,0.105,,-2.8,0.6,-2.3,0.0
2,Bam Adebayo\adebaba01,C,26,MIA,33,1155,20.1,0.57,0.019,0.461,7.3,27.1,17.1,20.7,1.5,2.4,12.1,27.1,,1.3,1.9,3.2,0.133,,0.8,1.3,2.0,1.2
3,Ochai Agbaji\agbajoc01,SG,23,UTA,44,883,8.5,0.541,0.584,0.088,4.2,9.6,6.9,6.1,1.4,2.6,12.0,12.5,,0.1,0.6,0.7,0.039,,-2.5,-0.1,-2.6,-0.1
4,Santi Aldama\aldamsa01,PF,23,MEM,32,743,13.2,0.531,0.509,0.188,5.4,21.5,13.2,11.4,1.4,3.1,10.4,20.0,,-0.1,1.1,0.9,0.061,,-0.9,0.6,-0.3,0.3
5,Nickeil Alexander-Walker\alexani01,SG,25,MIN,42,936,9.4,0.549,0.667,0.098,2.2,6.6,4.6,14.5,1.9,2.4,14.4,13.4,,0.2,1.5,1.7,0.09,,-1.9,2.1,0.2,0.5
6,Grayson Allen\allengr01,SG,28,PHO,37,1233,14.2,0.69,0.625,0.206,2.8,11.1,7.2,12.3,1.4,1.7,12.5,14.9,,2.3,1.0,3.3,0.129,,1.4,-0.4,1.0,0.9
7,Jarrett Allen\allenja01,C,25,CLE,35,1061,22.1,0.695,0.003,0.384,12.7,24.3,18.6,14.3,1.5,3.2,14.3,17.6,,3.1,2.0,5.1,0.23,,1.9,2.0,3.9,1.6
8,Jose Alvarado\alvarjo01,PG,25,NOP,26,428,12.9,0.531,0.561,0.2,3.1,11.3,7.2,15.2,2.8,2.3,10.6,18.9,,0.1,0.6,0.8,0.086,,-1.1,1.4,0.3,0.2
9,Kyle Anderson\anderky01,PF,30,MIN,42,951,11.7,0.522,0.127,0.355,3.6,13.3,8.8,23.4,1.7,2.5,18.0,14.8,,0.3,1.7,2.1,0.104,,-2.0,2.7,0.7,0.6
10,Giannis Antetokounmpo\antetgi01,PF,29,MIL,40,1409,29.5,0.649,0.091,0.605,8.8,25.9,17.7,28.5,1.8,2.5,13.3,33.3,,4.9,1.8,6.8,0.231,,6.1,1.6,7.7,3.4
11,Thanasis Antetokounmpo\antetth01,PF,31,MIL,17,74,4.1,0.5,0.0,0.0,6.2,5.7,5.9,14.6,1.3,3.3,36.4,12.6,,-0.1,0.0,-0.1,-0.037,,-7.6,-0.6,-8.2,-0.1
12,Cole Anthony\anthoco01,PG,23,ORL,42,1028,14.8,0.55,0.351,0.349,4.8,14.9,9.8,20.3,1.6,1.9,13.4,24.2,,0.6,1.5,2.1,0.096,,-0.7,0.6,-0.1,0.5
13,OG Anunoby\anunoog01,SF,26,TOT,38,1304,13.0,0.609,0.484,0.164,3.2,10.7,6.9,9.3,1.5,1.8,10.8,17.2,,1.2,1.1,2.3,0.085,,-0.6,0.2,-0.5,0.5
13,OG Anunoby\anunoog01,SF,26,TOR,27,900,12.6,0.598,0.508,0.143,2.9,10.3,6.5,11.1,1.5,1.3,11.2,18.2,,0.6,0.6,1.2,0.063,,-0.9,-0.5,-1.4,0.1
13,OG Anunoby\anunoog01,SF,26,NYK,11,404,13.8,0.638,0.419,0.222,3.9,11.6,7.8,5.2,1.6,3.0,9.8,14.9,,0.6,0.5,1.1,0.133,,-0.1,1.7,1.6,0.4
14,Ryan Arcidiacono\arcidry01,PG,29,NYK,16,36,0.2,0.0,1.0,0.0,0.0,21.3,10.7,12.8,1.4,0.0,0.0,5.9,,-0.1,0.0,0.0,-0.026,,-10.0,1.7,-8.3,-0.1
15,Deni Avdija\avdijde01,SF,23,WAS,42,1146,14.6,0.585,0.29,0.308,3.9,20.5,12.1,19.3,1.5,1.1,14.3,18.8,,0.9,0.7,1.6,0.067,,-1.0,-0.2,-1.2,0.2
16,Deandre Ayton\aytonde01,C,25,POR,26,813,15.1,0.555,0.0,0.127,10.9,27.6,18.6,7.7,1.7,2.0,14.8,18.2,,0.1,0.9,1.1,0.064,,-2.4,-0.4,-2.8,-0.2
17,Udoka Azubuike\azubuud01,C,24,PHO,11,91,14.7,0.719,0.0,0.474,12.0,19.3,15.8,4.7,0.0,5.9,14.8,12.8,,0.2,0.1,0.3,0.132,,-2.4,0.1,-2.2,0.0
18,Ibou Badji\badjiib01,C,21,POR,12,163,9.4,0.595,0.0,0.4,11.5,19.3,15.2,6.5,0.6,9.5,33.8,6.9,,0.0,0.2,0.2,0.067,,-7.2,2.0,-5.2,-0.1
19,Marvin Bagley III\baglema01,C-PF,24,TOT,29,570,18.3,0.621,0.04,0.329,12.1,16.9,14.4,8.6,0.7,2.4,11.7,21.5,,1.0,0.2,1.2,0.098,,0.5,-1.9,-1.4,0.1
19,Marvin Bagley III\baglema01,C,24,DET,26,478,18.0,0.638,0.033,0.337,10.5,17.4,13.8,8.7,0.5,2.4,12.2,20.8,,0.9,0.1,1.0,0.099,,0.4,-1.8,-1.3,0.1
19,Marvin Bagley III\baglema01,PF,24,WAS,3,92,20.1,0.553,0.068,0.295,20.6,14.2,17.4,8.3,1.5,2.7,9.1,25.1,,0.1,0.0,0.2,0.091,,0.6,-2.3,-1.7,0.0
20,Amari Bailey\baileam01,PG,19,CHO,2,11,3.7,0.363,0.333,0.333,19.2,0.0,10.1,0.0,0.0,0.0,12.7,30.9,,-0.1,0.0,-0.1,-0.247,,-5.5,-8.4,-13.9,0.0
21,Patrick Baldwin Jr.\baldwpa01,SF,21,WAS,13,102,10.9,0.596,0.533,0.333,5.1,24.6,14.7,7.6,0.5,2.4,12.7,16.3,,0.1,0.1,0.1,0.053,,-3.3,-1.1,-4.4,-0.1
