Seed,Team,Record
1,Boston Celtics,33-10
2,Denver Nuggets,30-14
3,Minnesota Timberwolves,30-12
4,Milwaukee Bucks,29-13
5,Oklahoma City Thunder,29-13
6,Philadelphia 76ers,28-13
7,Los Angeles Clippers,27-14
8,New York Knicks,26-17
9,Cleveland Cavaliers,25-15
10,New Orleans Pelicans,25-18
11,Dallas Mavericks,24-18
12,Indiana Pacers,24-19
13,Miami Heat,24-19
14,Phoenix Suns,24-18
15,Orlando Magic,23-20
16,Sacramento Kings,23-18
17,Los Angeles Lakers,22-22
18,Utah Jazz,22-22
19,Chicago Bulls,21-23
20,Houston Rockets,20-22
21,Atlanta Hawks,18-24
22,Golden State Warriors,18-22
23,Brooklyn Nets,17-25
24,Toronto Raptors,16-27
25,Memphis Grizzlies,15-27
26,Portland Trail Blazers,12-30
27,Charlotte Hornets,9-31
28,San Antonio Spurs,8-34
29,Washington Wizards,7-35
30,Detroit Pistons,4-38
