Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C-PF,24,TOT,36,0,579,99,207,0.478,14,52,0.269,85,155,0.548,0.512,27,46,0.587,70,112,182,47,19,19,38,57,239
1,Precious Achiuwa\achiupr01,C,24,TOR,25,0,437,78,170,0.459,13,47,0.277,65,123,0.528,0.497,24,42,0.571,50,86,136,44,16,12,29,40,193
1,Precious Achiuwa\achiupr01,PF,24,NYK,11,0,142,21,37,0.568,1,5,0.2,20,32,0.625,0.581,3,4,0.75,20,26,46,3,3,7,9,17,46
2,Bam Adebayo\adebaba01,C,26,MIA,33,33,1155,261,519,0.503,1,10,0.1,260,509,0.511,0.504,188,239,0.787,75,271,346,142,35,29,86,84,711
3,Ochai Agbaji\agbajoc01,SG,23,UTA,44,10,883,98,226,0.434,43,132,0.326,55,94,0.585,0.529,15,20,0.75,33,79,112,41,26,26,32,63,254
4,Santi Aldama\aldamsa01,PF,23,MEM,32,6,743,124,287,0.432,49,146,0.336,75,141,0.532,0.517,33,54,0.611,38,141,179,54,21,25,36,52,330
5,Nickeil Alexander-Walker\alexani01,SG,25,MIN,42,12,936,98,234,0.419,56,156,0.359,42,78,0.538,0.538,16,23,0.696,17,58,75,101,37,26,41,77,268
6,Grayson Allen\allengr01,SG,28,PHO,37,37,1233,172,339,0.507,103,212,0.486,69,127,0.543,0.659,63,70,0.9,29,125,154,109,34,24,53,79,510
7,Jarrett Allen\allenja01,C,25,CLE,35,35,1061,212,318,0.667,0,1,0.0,212,317,0.669,0.667,93,122,0.762,120,238,358,103,33,38,62,85,517
8,Jose Alvarado\alvarjo01,PG,25,NOP,26,0,428,63,155,0.406,33,87,0.379,30,68,0.441,0.513,20,31,0.645,12,44,56,48,25,10,20,38,179
9,Kyle Anderson\anderky01,PF,30,MIN,42,2,951,107,228,0.469,5,29,0.172,102,199,0.513,0.48,56,81,0.691,28,119,147,164,34,27,58,69,275
10,Giannis Antetokounmpo\antetgi01,PF,29,MIL,40,40,1409,462,759,0.609,16,69,0.232,446,690,0.646,0.619,307,459,0.669,108,347,455,241,53,44,147,116,1247
11,Thanasis Antetokounmpo\antetth01,PF,31,MIL,17,0,74,7,14,0.5,0,0,,7,14,0.5,0.5,0,0,,4,4,8,9,2,3,8,14,14
12,Cole Anthony\anthoco01,PG,23,ORL,42,0,1028,188,436,0.431,50,153,0.327,138,283,0.488,0.489,127,152,0.836,44,133,177,137,33,21,78,111,553
13,OG Anunoby\anunoog01,SF,26,TOT,38,38,1304,217,438,0.495,81,212,0.382,136,226,0.602,0.588,57,72,0.792,38,125,163,87,41,26,57,90,572
13,OG Anunoby\anunoog01,SF,26,TOR,27,27,900,157,321,0.489,61,163,0.374,96,158,0.608,0.584,33,46,0.717,24,82,106,72,28,13,43,62,408
13,OG Anunoby\anunoog01,SF,26,NYK,11,11,404,60,117,0.513,20,49,0.408,40,68,0.588,0.598,24,26,0.923,14,43,57,15,13,13,14,28,164
