Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C-PF,24,TOT,36,0,16.1,2.8,5.8,0.478,0.4,1.4,0.269,2.4,4.3,0.548,0.512,0.8,1.3,0.587,1.9,3.1,5.1,1.3,0.5,0.5,1.1,1.6,6.6
1,Precious Achiuwa\achiupr01,C,24,TOR,25,0,17.5,3.1,6.8,0.459,0.5,1.9,0.277,2.6,4.9,0.528,0.497,1.0,1.7,0.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
1,Precious Achiuwa\achiupr01,PF,24,NYK,11,0,12.9,1.9,3.4,0.568,0.1,0.5,0.2,1.8,2.9,0.625,0.581,0.3,0.4,0.75,1.8,2.4,4.2,0.3,0.3,0.6,0.8,1.5,4.2
2,Bam Adebayo\adebaba01,C,26,MIA,33,33,35.0,7.9,15.7,0.503,0.0,0.3,0.1,7.9,15.4,0.511,0.504,5.7,7.2,0.787,2.3,8.2,10.5,4.3,1.1,0.9,2.6,2.5,21.5
3,Ochai Agbaji\agbajoc01,SG,23,UTA,44,10,20.1,2.2,5.1,0.434,1.0,3.0,0.326,1.3,2.1,0.585,0.529,0.3,0.5,0.75,0.8,1.8,2.5,0.9,0.6,0.6,0.7,1.4,5.8
4,Santi Aldama\aldamsa01,PF,23,MEM,32,6,23.2,3.9,9.0,0.432,1.5,4.6,0.336,2.3,4.4,0.532,0.517,1.0,1.7,0.611,1.2,4.4,5.6,1.7,0.7,0.8,1.1,1.6,10.3
5,Nickeil Alexander-Walker\alexani01,SG,25,MIN,42,12,22.3,2.3,5.6,0.419,1.3,3.7,0.359,1.0,1.9,0.538,0.538,0.4,0.5,0.696,0.4,1.4,1.8,2.4,0.9,0.6,1.0,1.8,6.4
6,Grayson Allen\allengr01,SG,28,PHO,37,37,33.3,4.6,9.2,0.507,2.8,5.7,0.486,1.9,3.4,0.543,0.659,1.7,1.9,0.9,0.8,3.4,4.2,2.9,0.9,0.6,1.4,2.1,13.8
7,Jarrett Allen\allenja01,C,25,CLE,35,35,30.3,6.1,9.1,0.667,0.0,0.0,0.0,6.1,9.1,0.669,0.667,2.7,3.5,0.762,3.4,6.8,10.2,2.9,0.9,1.1,1.8,2.4,14.8
8,Jose Alvarado\alvarjo01,PG,25,NOP,26,0,16.5,2.4,6.0,0.406,1.3,3.3,0.379,1.2,2.6,0.441,0.513,0.8,1.2,0.645,0.5,1.7,2.2,1.8,1.0,0.4,0.8,1.5,6.9
9,Kyle Anderson\anderky01,PF,30,MIN,42,2,22.6,2.5,5.4,0.469,0.1,0.7,0.172,2.4,4.7,0.513,0.48,1.3,1.9,0.691,0.7,2.8,3.5,3.9,0.8,0.6,1.4,1.6,6.5
10,Giannis Antetokounmpo\antetgi01,PF,29,MIL,40,40,35.2,11.6,19.0,0.609,0.4,1.7,0.232,11.2,17.3,0.646,0.619,7.7,11.5,0.669,2.7,8.7,11.4,6.0,1.3,1.1,3.7,2.9,31.2
11,Thanasis Antetokounmpo\antetth01,PF,31,MIL,17,0,4.4,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.0,0.0,,0.2,0.2,0.5,0.5,0.1,0.2,0.5,0.8,0.8
12,Cole Anthony\anthoco01,PG,23,ORL,42,0,24.5,4.5,10.4,0.431,1.2,3.6,0.327,3.3,6.7,0.488,0.489,3.0,3.6,0.836,1.0,3.2,4.2,3.3,0.8,0.5,1.9,2.6,13.2
