Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shai Gilgeous-Alexander\gilgesh01,26,OKC,PG,76,76,2598,860,1656,0.519,163,435,0.375,697,1221,0.571,0.569,601,669,0.898,67,312,379,486,131,77,183,164,2484
2,Anthony Edwards\edwaran01,23,MIN,SG,79,79,2871,721,1612,0.447,320,811,0.395,401,801,0.501,0.547,415,496,0.837,61,389,450,359,91,51,249,150,2177
3,Nikola Jokić\jokicni01,29,DEN,C,70,70,2571,786,1364,0.576,138,331,0.417,648,1033,0.627,0.627,361,451,0.8,200,692,892,716,127,45,230,160,2071
4,Giannis Antetokounmpo\antetgi01,30,MIL,PF,67,67,2289,793,1319,0.601,14,63,0.222,779,1256,0.62,0.607,436,707,0.617,147,651,798,433,58,78,206,155,2036
5,Jayson Tatum\tatumja01,26,BOS,PF,72,72,2624,662,1465,0.452,250,728,0.343,412,737,0.559,0.537,358,440,0.814,48,575,623,431,76,38,209,157,1932
6,Devin Booker\bookede01,28,PHO,SG,75,75,2795,654,1420,0.461,183,551,0.332,471,869,0.542,0.525,432,483,0.894,76,229,305,529,67,16,220,198,1923
7,Trae Young\youngtr01,26,ATL,PG,76,76,2739,566,1376,0.411,218,642,0.34,348,734,0.474,0.491,491,561,0.875,36,200,236,880,91,12,355,145,1841
8,Tyler Herro\herroty01,25,MIA,SG,77,77,2725,651,1378,0.472,251,670,0.375,400,708,0.565,0.563,287,327,0.878,35,364,399,424,69,17,198,85,1840
9,Cade Cunningham\cunnica01,23,DET,PG,70,70,2452,684,1457,0.469,149,418,0.356,535,1039,0.515,0.521,313,370,0.846,56,369,425,638,71,53,309,195,1830
10,James Harden\hardeja01,35,LAC,PG,79,79,2789,531,1295,0.41,235,668,0.352,296,627,0.472,0.501,505,578,0.874,55,401,456,687,118,55,341,162,1802
11,Karl-Anthony Towns\townska01,29,NYK,C,72,72,2517,639,1215,0.526,142,338,0.42,497,877,0.567,0.584,339,409,0.829,212,708,920,222,71,50,192,249,1759
12,Zach LaVine\lavinza01,29,2TM,SF,74,74,2602,625,1223,0.511,239,536,0.446,386,687,0.562,0.609,235,285,0.825,22,293,315,310,58,12,208,121,1724
12,Zach LaVine\lavinza01,29,CHI,SF,42,42,1432,363,710,0.511,136,305,0.446,227,405,0.56,0.607,145,182,0.797,12,190,202,189,39,10,121,64,1007
12,Zach LaVine\lavinza01,29,SAC,SG,32,32,1170,262,513,0.511,103,231,0.446,159,282,0.564,0.611,90,103,0.874,10,103,113,121,19,2,87,57,717
13,Jalen Green\greenja05,22,HOU,SG,82,82,2697,608,1437,0.423,234,661,0.354,374,776,0.482,0.505,273,336,0.813,45,332,377,282,71,27,203,127,1723
