Seed,Team,Record
1,San Antonio Spurs,58-24
2,Los Angeles Lakers,56-26
3,Philadelphia 76ers,56-26
4,Sacramento Kings,55-27
5,Dallas Mavericks,53-29
6,Utah Jazz,53-29
7,Milwaukee Bucks,52-30
8,Phoenix Suns,51-31
9,Miami Heat,50-32
10,Portland Trail Blazers,50-32
11,New York Knicks,48-34
12,Minnesota Timberwolves,47-35
13,Toronto Raptors,47-35
14,Charlotte Hornets,46-36
15,Houston Rockets,45-37
16,Seattle SuperSonics,44-38
17,Orlando Magic,43-39
18,Indiana Pacers,41-41
19,Denver Nuggets,40-42
20,Boston Celtics,36-46
21,Detroit Pistons,32-50
22,Los Angeles Clippers,31-51
23,Cleveland Cavaliers,30-52
24,New Jersey Nets,26-56
25,Atlanta Hawks,25-57
26,Vancouver Grizzlies,23-59
27,Washington Wizards,19-63
28,Golden State Warriors,17-65
29,Chicago Bulls,15-67
