MVP Rank Real,MVP Share Real,MVP Rank SVM,MVP Share SVM,MVP Rank Elastic Net,MVP Share Elastic Net,MVP Rank Random Forest,MVP Share Random Forest,MVP Rank AdaBoost,MVP Share AdaBoost,MVP Rank Gradient Boosting,MVP Share Gradient Boosting,MVP Rank LGBM,MVP Share LGBM,Season
Joel Embiid,0.915,Nikola Jokić,0.473,Nikola Jokić,0.415,Nikola Jokić,0.461,Nikola Jokić,0.424,Joel Embiid,0.452,Nikola Jokić,0.506,2023-24
Nikola Jokić,0.674,Joel Embiid,0.431,Joel Embiid,0.381,Joel Embiid,0.439,Joel Embiid,0.421,Nikola Jokić,0.429,Joel Embiid,0.479,2023-24
Giannis Antetokounmpo,0.606,Giannis Antetokounmpo,0.325,Giannis Antetokounmpo,0.286,Shai Gilgeous-Alexander,0.331,Shai Gilgeous-Alexander,0.307,Shai Gilgeous-Alexander,0.35,Shai Gilgeous-Alexander,0.351,2023-24
Joel Embiid,0.915,Nikola Jokić,0.659,Nikola Jokić,0.538,Joel Embiid,0.593,Nikola Jokić,0.725,Nikola Jokić,0.835,Nikola Jokić,0.837,2022-23
Nikola Jokić,0.674,Giannis Antetokounmpo,0.638,Joel Embiid,0.454,Nikola Jokić,0.586,Joel Embiid,0.609,Joel Embiid,0.773,Joel Embiid,0.738,2022-23
Giannis Antetokounmpo,0.606,Joel Embiid,0.626,Giannis Antetokounmpo,0.405,Giannis Antetokounmpo,0.493,Giannis Antetokounmpo,0.586,Giannis Antetokounmpo,0.688,Giannis Antetokounmpo,0.582,2022-23
Nikola Jokić,0.875,Nikola Jokić,0.775,Nikola Jokić,0.561,Nikola Jokić,0.736,Nikola Jokić,0.666,Nikola Jokić,0.6,Nikola Jokić,0.763,2021-22
Joel Embiid,0.706,Giannis Antetokounmpo,0.767,Giannis Antetokounmpo,0.468,Giannis Antetokounmpo,0.668,Giannis Antetokounmpo,0.651,Giannis Antetokounmpo,0.588,Giannis Antetokounmpo,0.623,2021-22
Giannis Antetokounmpo,0.595,Joel Embiid,0.669,Joel Embiid,0.4,Joel Embiid,0.523,Joel Embiid,0.428,Joel Embiid,0.565,Joel Embiid,0.463,2021-22
Nikola Jokić,0.961,Nikola Jokić,0.727,Nikola Jokić,0.511,Nikola Jokić,0.64,Nikola Jokić,0.677,Nikola Jokić,0.567,Nikola Jokić,0.759,2020-21
Joel Embiid,0.58,Giannis Antetokounmpo,0.488,Giannis Antetokounmpo,0.355,Giannis Antetokounmpo,0.398,Joel Embiid,0.37,Giannis Antetokounmpo,0.383,Joel Embiid,0.488,2020-21
Stephen Curry,0.449,Joel Embiid,0.367,Joel Embiid,0.329,Joel Embiid,0.305,Giannis Antetokounmpo,0.262,Joel Embiid,0.359,Giannis Antetokounmpo,0.388,2020-21
