Seed,Team,Record
1,Los Angeles Lakers,67-15
2,Portland Trail Blazers,59-23
3,Indiana Pacers,56-26
4,Utah Jazz,55-27
5,Phoenix Suns,53-29
6,San Antonio Spurs,53-29
7,Miami Heat,52-30
8,Minnesota Timberwolves,50-32
9,New York Knicks,50-32
10,Charlotte Hornets,49-33
11,Philadelphia 76ers,49-33
12,Seattle SuperSonics,45-37
13,Toronto Raptors,45-37
14,Sacramento Kings,44-38
15,Detroit Pistons,42-40
16,Milwaukee Bucks,42-40
17,Orlando Magic,41-41
18,Dallas Mavericks,40-42
19,Boston Celtics,35-47
20,Denver Nuggets,35-47
21,Houston Rockets,34-48
22,Cleveland Cavaliers,32-50
23,New Jersey Nets,31-51
24,Washington Wizards,29-53
25,Atlanta Hawks,28-54
26,Vancouver Grizzlies,22-60
27,Golden State Warriors,19-63
28,Chicago Bulls,17-65
29,Los Angeles Clippers,15-67
